Data dictionary,,,,,,
Ключ,Название атрибута,Мнемоника,Описание понятия,Тип данных,Обязательность,Примечание
Singup_service,,,,,,
РК,ID,singup_service_id,Уникальный номер записи на услугу, integer,да,
FК,id клиента,client_id,"Ссылка на клиента, записавшегося на услугу", integer,да,
,дата и время записи,service_time,Дата и время записи,datetime,да,
FК,id мастера,specialist_id,"Ссылка на мастера, к которому записались", integer,да,
FК,id услуги,service_id,Ссылка на услугу, integer,да,
,статус записи,service_ststus,Статус записи на услугу,varchar,да,"Может быть: ""создана"", ""подтверждена"", ""отменена"", ""выполнена"""
Client,,,,,,
РК,ID,client_id,Уникальный номер клиента, integer,да,
,ФИО,client_fio,ФИО,varchar,да,
,номер телефона,client_number,Номер телефона пользователя,varchar,да,
,email,client_email,Почтовый адрес пользователя,varchar,да,
,Статус регистрации,client_registr,Зарегистрирован или нет клиент,boolean,да,
,Дата регистрации,registr_date,Дата когда курьера добавили в систему,date,нет,
,логин,client_login,Логин для авторизации клиента,varchar,нет,
,пароль,client_password,Пароль для авторизации клиента,varchar,нет,
,выбранный канал связи,typeof_communication,Где направлять уведомления,varchar,нет,"Может быть: Telegram, WhatsApp, VK, SMS"
Service,,,,,,
РК,ID,service_id,Уникальный номер услуги, integer,да,
,название услуги,service_name			,Название услуги,varchar,да,
,Тип услуги,service_type,Тип услуги,varchar,да,"Может быть ""парикмахерские"" или ""косметологические"""
,длительность услуги,service_interval,"Интервал, который необходим для проведения услуги",integer,да,в минутах
,стоимость,service_cost,Цена услуги,"decimal(12, 2)",да,
Manager,,,,,,
РК,ID,manager_id,Уникальный номер менеджера, integer,да,
,ФИО,manager_fio,ФИО,varchar,да,
,номер телефона,manager_number,Номер телефона менеджера,varchar,да,
,email,manager_email,Почтовый адрес менеджера,varchar,да,
,логин,manager_login,Логин для авторизации менеджера,varchar,да,
,пароль,manager_password,Пароль для авторизации менеджера,varchar,да,
Specialist,,,,,,
РК,ID,specialist_id,Уникальный номер мастера, integer,да,
,ФИО,specialist_fio,ФИО,varchar,да,
,номер телефона,specialist_number,Номер телефона мастера,varchar,да,
,email,specialist_email,Почтовый адрес мастера,varchar,нет,
,логин,specialist_login,Логин для авторизации мастера,varchar,да,
,пароль,specialist_password,Пароль для авторизации мастера,varchar,да,
,специализация,specialist_type,Специализация мастера,varchar,нет,"Может быть ""парикмахер"" или ""косметолог"""
,статус активности,specialist_status,Работает ли мастер или нет,varchar,нет,
,описание мастера,specialist_description,,varchar,нет,
Specialist_working_intervals,,,,,,
РК,ID,specialist_working intervals_id,Уникальный номер рабочего интервала мастера, integer,да,
FК,id мастера,specialist_id,Ссылка на мастера, integer,да,
,дата ,intervals_date,Дата рабочего интервала,date,да,
,время начала,intervals_start,Рабоччий интервал (равен часу),time,да,
,время окончания,intervals_end,,time,да,
,статус интервала,intervals_status,Доступность интервала для записи,varchar,да,"Может быть ""свободно"" ""занято"" "
Payment,,,,,,
РК,ID,payment_id,Уникальный номер оплаты, integer,да,
FК,id записи,singup_service_id,Ссылка на запись на услугу, integer,да,
FК,id менеджера,manager_id,Какой менеджер принял оплату,varchar,да,
,сумма оплаты,Payment_amount				,Сколько стоила услуга,"decimal(12, 2)",да,
,способ оплаты,typeof_payment						,Как оплатил заказ клиент,varchar,нет,
,статус оплаты,payment_status,В каком статусе оплата,varchar,да,"Может быть ""нужно оплатить"" ""оплачено"" ""архив"""
,дата оплаты,payment_date,Дата оплаты,date,нет,
Review,,,,,,
РК,ID,review_id,Уникальный номер отзыва, integer,да,
FК,id записи,singup_service_id,Ссылка на запись на услугу, integer,да,
,оценка,review_mark,Оценка по 5 бальной шкале, integer,да,Может быть от 1 до 5
,текст отзыва,review_text,Комментарий,varchar,нет,
,дата отзыва,review_date,"Дата, когда был оставлен отзыв",date,да,
Specialist_service,,,,,,
РК,ID,specialist_service_id,Уникальный номер связи мастера и услуги, integer,да,
FК,id мастера,specialist_id,Ссылка на мастера, integer,да,
FК,id услуги,service_id,Ссылка  на услугу, integer,да,Может быть от 1 до 5
,индивидуальная стоимость,specialist_service_cost,идивидуальная стоимость услуги у конкретного мастера,varchar,нет,
